W_in,PV_simple,PV_ver
0.05,0.028773320835879634,0.14081835599245993
0.1,0.017150542029498908,0.12717613228592095
0.15,0.01299487145065557,0.10930260847791291
0.2,0.008312350495311979,0.09054334579118499
0.25,0.004021838285319824,0.07308813921658538
0.3,0.0002548412403712303,0.05785232767796908
0.35,-0.0030027045784503854,0.04478094023140464
0.4,-0.005786727290304584,0.03357746992560522
0.45,-0.008238324197892147,0.023727681581984204
0.5,-0.010402729630750656,0.014998355934028935
0.55,-0.01229159709846851,0.007495628957864434
0.6,-0.013865171504337095,0.0014564075595771913
0.65,-0.015157027373575965,-0.0032433661712826384
0.7,-0.01626688701464013,-0.006989629016403772
0.75,-0.017305495527805987,-0.01014465202637803
0.8,-0.018392161347214907,-0.012868167681727933
0.85,-0.019679421470315164,-0.015129437831013967
0.9,-0.021333145388764994,-0.016996606518200816
0.95,-0.02350549970134364,-0.018728680281328663
1.0,-0.026323149441616137,-0.020601853343302386
