mu,ZXY1,ZXY1_2,ZXY1_im,ZXY1_2im,ZXY2,ZXY2_2,ZXY2_im,ZXY2_2im
-0.2,-0.007616157824522839,-0.0074438145417919715,-3.626706177368024e-5,-2.2636588461330426e-6,0.012854355323001337,0.015802473744835118,0.0013302323098221699,0.0005199192045519177
-0.19,-0.007629053631575952,-0.007453330552977696,-3.813877306541988e-5,-2.7933577925430277e-6,0.001137258907260472,0.0054006934529331535,0.0019436118878172193,0.0006776275034496816
-0.18,-0.007669374049446094,-0.007464492280670469,-4.5046145368210804e-5,-3.493396716467727e-6,-0.013295014263401949,-0.007348204511464774,0.0022415403043094238,0.0008072996216228757
-0.17,-0.007732090329533064,-0.0074776928512327945,-4.9238116984679e-5,-4.434309643315922e-6,-0.028818577358685427,-0.021747940200604048,0.0023799352159707713,0.0009116958713568706
-0.16,-0.007781071485981163,-0.007493441070869033,-5.608462662559896e-5,-5.726990088229631e-6,-0.04544211175323612,-0.037497890059834796,0.0024351504560187645,0.0010092304674383453
-0.15,-0.00784776361251282,-0.00751244129065439,-7.545285889530112e-5,-7.546982575367872e-6,-0.06332995741632036,-0.054562287431165396,0.002432491424404343,0.0011116754610826119
-0.14,-0.007959509598423857,-0.007535641575807179,-9.887182385362351e-5,-1.0178532478335985e-5,-0.08264884189524906,-0.07302471124961785,0.0023447795932631447,0.0012248339768106372
-0.13,-0.008056759331924663,-0.007564324698530775,-0.00013052247915861984,-1.4106211172238948e-5,-0.10357319179214304,-0.09304036952489356,0.0021450744534208966,0.0013508286262534062
-0.12,-0.008168773122194184,-0.007600307928003429,-0.00019348182013362734,-2.0180293864563563e-5,-0.1263365657300088,-0.1148296984633043,0.0017642147232929555,0.001487998841773069
-0.11,-0.008338863974209345,-0.007646137672686206,-0.0002849937967193651,-2.9929147952255086e-5,-0.1511975480490894,-0.13868940038510397,0.0011083396654773554,0.001628007758262149
-0.1,-0.008514898152598281,-0.007705314108902188,-0.00041295513967456446,-4.617362024312273e-5,-0.17851518049786355,-0.1650128204285559,4.1456101310446134e-5,0.0017488103112330018
-0.09,-0.008687822430034138,-0.007782522125964411,-0.000626967845434352,-7.416217891556625e-5,-0.2087012031998833,-0.1943116578484501,-0.0016476647014187795,0.001800528564082593
-0.08,-0.008941544514371064,-0.007883304414566045,-0.0009513865474467762,-0.00012349728161349682,-0.2422127475910886,-0.2272218584582139,-0.004193645335244996,0.0016807897939913475
-0.07,-0.009201951182473621,-0.008011711595468587,-0.0013837628720254993,-0.0002107619862192472,-0.279043840793453,-0.26452416789560884,-0.007859182704554036,0.0012011673119198334
-0.06,-0.00936311729980453,-0.00816183351018614,-0.0019640789562785825,-0.00036024423343094196,-0.3189821170439483,-0.3073536664299573,-0.012533192290219592,5.661855979786954e-5
-0.05,-0.009296291156088723,-0.008291267303486664,-0.002526379312006943,-0.0005905224371037966,-0.36234640466313905,-0.35726581928432755,-0.0174589922031181,-0.002140166783462826
-0.04,-0.008359687908483095,-0.008249451616792261,-0.0023930205121950186,-0.000848992990339043,-0.4081231631930922,-0.4154033451988824,-0.020383073057950694,-0.005512125892769207
-0.03,-0.005308573126834319,-0.007642150856157213,-0.0004216186466809655,-0.0008397821167336518,-0.4521012384438125,-0.48032822970098266,-0.01711518296215475,-0.00892105900674809
-0.02,-0.0002487949183239882,-0.005875007631690372,0.0034647172882826312,5.009756225445902e-5,-0.4838632729550019,-0.5440273791460072,-0.004274150118367681,-0.009086687965534771
-0.01,0.0018882718690056747,-0.0032555408402769044,0.005383317929078093,0.001767158836817256,-0.48696842138825347,-0.5900318327741325,0.01132736595643494,-0.004062382732478402
0.0,0.0008752549489220175,-0.0020399227386800503,0.00481899979408641,0.0027765915779162484,-0.47413101318635026,-0.6055348208025181,0.016503730235603357,-0.000290906524768029
0.01,0.0018882718690056857,-0.0032555408402769053,0.005383317929078081,0.0017671588368172594,-0.48705335590524257,-0.590114427594437,0.011323944435880981,-0.004063297877229678
0.02,-0.00024879491832399084,-0.005875007631690369,0.0034647172882826477,5.0097562254458356e-5,-0.48402760022917213,-0.5441906388137272,-0.004281877463443039,-0.009088643681199526
0.03,-0.005308573126834312,-0.007642150856157228,-0.0004216186466809687,-0.0008397821167336512,-0.4523310861048929,-0.48057166552119285,-0.01712757072324213,-0.0089241723561171
0.04,-0.008359687908483083,-0.00824945161679227,-0.0023930205121950312,-0.0008489929903390448,-0.40842464949040125,-0.41573521563270877,-0.020400077308406615,-0.005516504160261302
0.05,-0.00929629115608873,-0.008291267303486676,-0.0025263793120069346,-0.000590522437103796,-0.36273979195404443,-0.35770582278580687,-0.01748188736735184,-0.002146037167732998
0.06,-0.009363117299804548,-0.00816183351018614,-0.0019640789562785812,-0.00036024423343094424,-0.3195079636308681,-0.3079327168878309,-0.012564310882908073,4.913016987263606e-5
0.07,-0.009201951182473614,-0.008011711595468547,-0.0013837628720254928,-0.00021076198621924655,-0.27979963087684645,-0.26527395288939265,-0.007897978249764048,0.0011929246651701572
0.08,-0.008941544514371074,-0.007883304414566023,-0.0009513865474467775,-0.00012349728161349674,-0.24322806505518058,-0.22813066834487225,-0.004222353167478688,0.0016739907120226763
0.09,-0.008687822430034133,-0.0077825221259643865,-0.0006269678454343554,-7.416217891556735e-5,-0.20976896904967796,-0.1953146470524005,-0.0016629715654625271,0.001796049223450501
0.1,-0.008514898152598285,-0.007705314108902208,-0.00041295513967456364,-4.6173620243121816e-5,-0.17958628801283263,-0.16606019889189733,3.0959268275312683e-5,0.0017457726581308613
0.11,-0.008338863974209328,-0.00764613767268621,-0.0002849937967193673,-2.9929147952255168e-5,-0.1522748689218316,-0.13976007835431348,0.0010994192746673465,0.001625604319069543
0.12,-0.008168773122194179,-0.007600307928003413,-0.00019348182013362368,-2.0180293864563834e-5,-0.12742246456383813,-0.11591501992018415,0.0017558870857958553,0.001485860917339838
0.13,-0.008056759331924675,-0.00756432469853078,-0.00013052247915862114,-1.4106211172239046e-5,-0.10466750377068508,-0.0941355646061099,0.0021371201055699024,0.001348846081477903
0.14,-0.00795950959842386,-0.007535641575807188,-9.887182385362629e-5,-1.0178532478336145e-5,-0.08375009407430509,-0.07412566390175898,0.0023373368238869562,0.0012230419964412691
0.15,-0.00784776361251283,-0.007512441290654412,-7.545285889530154e-5,-7.546982575367282e-6,-0.06443629697177275,-0.055663815149292716,0.0024260494653026697,0.0011102571060791642
0.16,-0.0077810714859811595,-0.007493441070869038,-5.6084626625600625e-5,-5.726990088228403e-6,-0.046552478103263024,-0.038591580421735,0.0024308922479193964,0.0010086538475091496
0.17,-0.007732090329533057,-0.007477692851232797,-4.923811698467687e-5,-4.434309643316307e-6,-0.029934847816839142,-0.022817060633509457,0.002380862348435251,0.0009130828013581989
0.18,-0.007669374049446093,-0.007464492280670481,-4.5046145368211286e-5,-3.4933967164672046e-6,-0.014421885808825757,-0.008353289646590911,0.00225611165640635,0.0008130623006818284
0.19,-0.007629053631575951,-0.007453330552977704,-3.8138773065420015e-5,-2.7933577925432086e-6,5.361015304430658e-5,0.00455614826781533,0.0019968507878599744,0.000691014273876962
0.2,-0.007616157824522814,-0.007443814541791981,-3.626706177367888e-5,-2.2636588461333984e-6,0.012333489571791863,0.01526666118648202,0.0014368862786073538,0.0005385942997894289
