mu,Drude,BC,dQM,Drude0,app_QM,Green
0.002,11.54324831922376,0.00356623335527964,0.00043069696290708897,12.588206793685433,0.001838162804922779,12.663049608330464
0.004,3.587588737377932,0.0036262997425415048,-0.0016322427554109392,12.723182663429398,0.0018552762926537971,12.663344398628977
0.006,12.709870506698318,0.003557102408471318,-0.0017269798900538666,12.724641368548795,0.0018566000544926044,12.663655138173961
0.008,12.724318375050204,0.0035600044022259646,-0.0017286295057862761,12.72520955244686,0.0018582791456992953,12.664066396528142
0.01,12.725263880105178,0.003563783401624101,-0.0017305232077792216,12.725770111318369,0.0018604294708229436,12.664638109310431
0.015,12.727584983790877,0.0035771040911909513,-0.001737250997099962,12.728153826802414,0.0018681195805624056,12.667067388955068
0.02,12.732106771370011,0.0035967635607113647,-0.0017473367137169197,12.732880540512971,0.0018796442225762675,12.671508950325832
0.025,12.739695854290364,0.0036238804249050754,-0.0017612710855656323,12.740674296917218,0.0018955399951642515,12.678247314809814
0.03,12.749867876526688,0.003658666611112099,-0.0017787504094602304,12.75097423189427,0.0019154489443994594,12.686386731294531
0.04,12.769687625022023,0.003743561433944711,-0.0018188618203102457,12.77064817966518,0.0019611406344572893,12.699034088320388
0.05,12.772779491920835,0.00382705714152072,-0.0018546900558673713,12.773157923705586,0.002002212027450962,12.692789830887456
0.06,12.747510655966451,0.0038866686821718162,-0.001876991702374384,12.74717763578178,0.0020283613366558653,12.656822466899078
0.08,12.613253780350068,0.003903058057136954,-0.0018730124576213072,12.611870264387493,0.0020268645434927614,12.484880287976443
0.1,12.410074429860124,0.003804147197608254,-0.0018189303382421362,12.408332780264322,0.0019696949453273972,12.192124028076757
