mu,total,BCD,sQMD,dQMD,Inter,dInter
-0.4,-98.04304701009615,-0.7784672502501728,0.052521966179796514,-0.04948619606638127,0.19593826274870071,-0.0014431553283708925
-0.38,-93.60532358877158,-0.8217780140130846,0.05293156684221066,-0.04941338149129379,0.2022478866357465,-0.001432221748731789
-0.36,-88.58766089975016,-0.8658060736745927,0.0658349459837922,-0.0616488383264402,0.21752466995004455,-0.001546419825307802
-0.34,-83.49683995944474,-0.913858262050889,0.1038034352846549,-0.09849828302374143,0.22713507903808475,-0.0023329246170515064
-0.32,-78.02086415794815,-0.9637309482043408,0.09781379011875063,-0.09164931355228408,0.24128900644749718,-0.0019077821932309779
-0.3,-72.6722792438136,-1.0209537739927532,0.06911351302292829,-0.06194989231338559,0.2612565411760605,-0.003324479848987926
-0.28,-68.3960942487367,-1.097638578930405,0.0351270683924792,-0.026894860605045406,0.271064019793223,-0.003862521229697393
-0.26,-63.40947797412145,-1.1769080448818101,0.06564774427013,-0.05502142796269622,0.29996286217854784,-0.0034106581101559126
-0.24,-58.1536527215905,-1.2650376127061453,0.07416481746241246,-0.06061832393798599,0.32230811879366,-0.00746835844221904
-0.22,-52.79698344202925,-1.3613012278320518,0.032297206799654164,-0.015872686740596498,0.33975239143490077,-0.006940818297364632
-0.2,-47.877281977936846,-1.4878213658041148,-0.025614073542347956,0.04589738156407165,0.38937280540084457,-0.009248848321864294
-0.18,-43.51697605950103,-1.6496539409679467,-0.07804612919799962,0.10392501943055996,0.41487843521714307,-0.017772848344621908
-0.16,-38.85357265817662,-1.842996695941562,-0.025520418869776667,0.06424637521954932,0.4591732277963662,-0.01606970608011542
-0.14,-33.56412081898573,-2.055982972806278,-0.04799572119687043,0.1035465236711192,0.5344379249748812,-0.03242408329829931
-0.12,-28.554576577872904,-2.3212561449824656,-0.13369724243420728,0.2152028473080258,0.5761856353657998,-0.048846083325181325
-0.1,-24.160361994102956,-2.717328006156965,-0.3154121910917255,0.43330115250161955,0.6962644072678641,-0.06802102344746443
-0.08,-19.877960881310486,-3.233223253303127,-0.40196963722319273,0.6093258615796662,0.7735559509399825,-0.17027332249021468
-0.06,-15.136879053721731,-3.846896278069183,-0.5129424823236224,0.9049737107733312,0.8203178018011827,-0.21367203075149996
-0.04,-9.660971941582375,-4.067988786923598,-1.1149881828957078,1.5974302019533093,0.7507668486386169,-0.42089072055025856
-0.02,-5.175109862150292,-2.215272816581929,-2.1996753130037003,0.8194140432456313,-0.9464217377863339,0.6688947302430343
0.0,1.840857775198333e-17,2.3323429496237876e-18,8.030017723080383e-18,1.1133282946979552e-17,3.218310980967285e-18,-6.026411530656038e-18
0.02,5.17510986215029,2.2152728165819284,2.1996753130036995,-0.8194140432456312,0.9464217377863338,-0.6688947302430343
0.04,9.660971941582373,4.067988786923597,1.1149881828957082,-1.597430201953309,-0.7507668486386172,0.42089072055025845
0.06,15.136879053721726,3.846896278069183,0.5129424823236224,-0.9049737107733307,-0.8203178018011826,0.21367203075150037
0.08,19.877960881310482,3.233223253303126,0.4019696372231927,-0.6093258615796665,-0.7735559509399825,0.17027332249021473
0.1,24.16036199410295,2.717328006156966,0.3154121910917256,-0.43330115250161955,-0.6962644072678641,0.06802102344746444
0.12,28.554576577872893,2.3212561449824656,0.13369724243420725,-0.21520284730802622,-0.5761856353657997,0.048846083325181304
0.14,33.56412081898571,2.055982972806277,0.04799572119687023,-0.10354652367111931,-0.5344379249748813,0.032424083298299364
0.16,38.853572658176624,1.8429966959415618,0.02552041886977671,-0.06424637521954953,-0.4591732277963663,0.01606970608011544
0.18,43.516976059501026,1.649653940967946,0.0780461291979999,-0.10392501943055989,-0.4148784352171431,0.017772848344621905
0.2,47.877281977936846,1.4878213658041153,0.025614073542347775,-0.04589738156407148,-0.3893728054008446,0.009248848321864303
0.22,52.79698344202922,1.3613012278320513,-0.03229720679965409,0.015872686740596362,-0.3397523914349006,0.006940818297364636
0.24,58.15365272159049,1.2650376127061451,-0.07416481746241241,0.06061832393798575,-0.32230811879366017,0.0074683584422190405
0.26,63.409477974121465,1.1769080448818097,-0.06564774427013007,0.05502142796269617,-0.29996286217854784,0.003410658110155907
0.28,68.39609424873669,1.0976385789304053,-0.03512706839247908,0.02689486060504538,-0.2710640197932229,0.003862521229697389
0.3,72.67227924381359,1.020953773992753,-0.06911351302292804,0.061949892313385393,-0.2612565411760605,0.003324479848987932
0.32,78.02086415794813,0.9637309482043402,-0.09781379011875059,0.09164931355228412,-0.24128900644749715,0.0019077821932309822
0.34,83.49683995944471,0.9138582620508893,-0.1038034352846547,0.09849828302374125,-0.2271350790380848,0.0023329246170515046
0.36,88.58766089975016,0.8658060736745926,-0.06583494598379212,0.061648838326440115,-0.21752466995004469,0.0015464198253078033
0.38,93.60532358877154,0.8217780140130841,-0.052931566842210634,0.049413381491293734,-0.2022478866357464,0.0014322217487317877
0.4,98.0430470100961,0.7784672502501733,-0.05252196617979653,0.04948619606638117,-0.19593826274870071,0.0014431553283708954
