mu,Drude,BCD,sQMD,dQMD,Inter,dInter,Green,Green_M
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0907572564298075e-6
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.90080988641682e-5
0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.936821746263318e-5
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8663544003395994e-5
0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4976709277122183e-5
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004836825418376719
0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027877272334449865
