mu,Drude,BCD,sQMD,dQMD,Inter,dInter,Green
0.6,-0.03750695551527192,-0.032608717747076243,1.3834419720915037e-16,-0.001921761903695225,-0.030808107741845787,0.0008059162275833819,0.06453945372143366
0.62,-0.03931372668197121,-0.038243848465807494,9.551821139597294e-17,-0.0032472127637990147,-0.03434244802106858,0.0013024518920170462,0.0745606688408067
0.64,-0.0413140413263054,-0.04462051887773783,6.873841773558098e-17,-0.0050385993892171615,-0.0386041846086581,0.0019252439942122014,0.08635157679726824
0.66,-0.04354928692618702,-0.05192271287049693,4.427610621887679e-17,-0.00745397154737989,-0.043807155996549815,0.0027100921356751338,0.1004771012754535
0.68,-0.04606126825960403,-0.06050225189987735,1.7054500173196985e-16,-0.010705984381907662,-0.05027884944661866,0.003706133881287526,0.11779996675885851
0.7,-0.04889463157811022,-0.07091678880371204,-2.7538735181131813e-17,-0.015183185757773032,-0.058504233048632656,0.004992743140487525,0.13967022836747844
0.72,-0.052114833036162926,-0.08393591655078265,-2.2833297752544723e-16,-0.021537286342731412,-0.06918298013300586,0.006692293678381107,0.16810101543606581
0.74,-0.05582141204710276,-0.10069239487307355,-3.69712940817557e-16,-0.030816029121509894,-0.08336883269953921,0.008993036059274793,0.20618028600149163
0.76,-0.06016648389138194,-0.1229846406659988,1.496198998029996e-16,-0.044743414606421096,-0.10272654287636486,0.012194386053235707,0.2589323482530319
0.78,-0.06539090957104148,-0.15380728417451361,-6.028164079019405e-17,-0.06615882435299957,-0.12999036029040817,0.016772400346052995,0.33468736606028093
0.8,-0.0718903036117087,-0.19829289956020238,1.8084492237058214e-16,-0.09942635281045883,-0.1697800071568497,0.023414920213250694,0.44703126263040893
0.82,-0.08032134549740486,-0.26522749487816344,1.244664094013359e-16,-0.14948818989210755,-0.22992877023204994,0.03272387912372759,0.6154866961175911
0.84,-0.09167344154515307,-0.3681045539417785,-6.808789643208968e-17,-0.213442774670422,-0.32258368101362983,0.04325346185741436,0.854508412800722
0.86,-0.1064285675177752,-0.51346071419553,1.124317652867468e-15,-0.24558338326829365,-0.45574343927120936,0.04387814380550554,1.120114388523048
0.88,-0.118030508105302,-0.6086541897239508,-7.047314121155779e-17,-0.10783713043082273,-0.5629047290685147,0.004115671818550916,1.2075262401087707
0.9,-0.1058940548154844,-0.34775109925131187,1.4696360448041013e-16,0.15087606857615654,-0.412288232669467,-0.06083881478492693,0.8286964232689847
0.92,-0.08208157148035881,0.1706889714600318,-1.5456657221496473e-16,0.09883271856518518,-0.07378960420603974,-0.05279678413923592,0.029647756983450575
0.94,-0.07565647729624676,0.5945830390812346,-2.394189447391115e-16,-0.09731640001610244,0.18484871582313975,-0.011943796726908013,-0.8264911372787962
0.96,-0.08008539527957967,0.9277079575709061,-1.615342652390786e-16,-0.09821633574233608,0.3773743851910111,0.0005605607682397036,-1.4300083414807385
0.98,-0.07128153462346165,0.9626184778798588,3.5097318389250287e-16,0.22869519076134054,0.4245900776431439,-0.026061764193414494,-1.5014952621572473
1.0,-0.03870597481766691,0.548788127752694,1.2594367721299477e-15,0.404955789108059,0.2481572308246504,-0.04073879951820976,-1.057142780528278
1.02,-0.014667292576225873,0.20944491870603024,8.91406885778585e-17,0.25444078682633275,0.09508044807348122,-0.02517421673801444,-0.5383207512483761
1.04,-0.005156702541396504,0.07346941386028519,7.316847945905978e-17,0.11205442698285213,0.03332139571683622,-0.011040920003589468,-0.2237236184275794
1.06,-0.00184138455474533,0.026179699518712633,1.1250093082084604e-16,0.04387614755672541,0.011862102698264643,-0.004317630812574797,-0.08424809801016848
1.08,-0.0006685398737631493,0.009495323214568134,1.7640569548591626e-17,0.016505725346748296,0.00430033494840052,-0.0016235248620427585,-0.030495704776153
1.1,-0.0002446723617213615,0.0034736876039352673,8.148265046684257e-18,0.006121675855100935,0.00157289717582936,-0.0006020402356563107,-0.01087299342536611
1.12,-8.983457246769332e-5,0.0012752113628979956,7.704650979304212e-18,0.002258755427150434,0.0005773778635786547,-0.0002221258973376653,-0.003846647639062835
1.14,-3.302438363766989e-5,0.0004687576537325368,-1.4805101942239479e-18,0.0008318591562188329,0.00021223379682758692,-8.180324810413834e-5,-0.0013554839813042598
1.16,-1.214574730911559e-5,0.00017239658059079238,-5.2764352009897383e-20,0.00030614698771751274,7.805315522736324e-5,-3.010560388000592e-5,-0.00046531774413869736
1.18,-4.467731200411287e-6,6.341442157851331e-5,-4.569836325243745e-19,0.00011264184448520768,2.8710995196326336e-5,-1.1076839360728117e-5,-0.00015079894276057265
1.2,-1.6435269512486237e-6,2.332794999232755e-5,-7.884509822975292e-20,4.144087377674886e-5,1.056175759781415e-5,-4.0751589129153915e-6,-4.032852997708763e-5
