mu,Drude,BCD,sQMD,dQMD,Inter,dInter,Green,Green_sea
0.002,-24.099273713065962,0.31295278802770043,0.26647946427282976,-0.13229696246936382,-0.07314332755768384,-0.0014786055094917463,0.0,0.0
0.004,-6.140901885062358,0.30662016570105993,0.2637048718142945,-0.1281940636960295,-0.059975532501066846,-0.005524142431912334,0.0,0.0
0.006,-2.8130034963582307,0.2965795272358162,0.25924125960921196,-0.1217297678575643,-0.04375312987587282,-0.011500268318648069,0.0,0.0
0.008,-1.645709121297375,0.28348466855728083,0.2532907040005374,-0.11338077698917104,-0.02575525497200541,-0.018545638398514037,0.0,0.0
0.01,-1.102856390654756,0.268098653833359,0.2461005012083109,-0.10369510908795664,-0.007295343468175096,-0.025780362319748347,0.0,0.0
0.015,-0.5582601052937511,0.22450467954453135,0.22443026211160322,-0.07704700386912486,0.03418141569328602,-0.04045521164270908,0.0,0.0
0.02,-0.3580684967572456,0.1807562219954783,0.2004016681727862,-0.05166115058123959,0.0628084452535513,-0.04706162632429295,0.0,0.0
