mu,Drude,BC,dQM,app_QM,Green_Dr,Green_BC
-3.0,0.011978397704744967,8.79053824798688e-5,0.0005416822093028876,0.0006984582380620294,0.01922984895597067,0.0008707462621078748
-2.9,0.06298399990394994,0.0004613965760098639,0.0027622826394942367,0.0035391247642091823,0.09495258839470182,0.004086722870620499
-2.8,0.3192577212827843,0.002310617232666729,0.012076573811867657,0.015142287132977238,0.41961222952621713,0.0157567237898009
-2.7,1.2846139795477687,0.008563491784786104,0.028397417713354755,0.03624705504032802,1.3720070073889563,0.03463986932589389
-2.6,2.8557276704700483,0.014615416567395513,0.021007137927898722,0.0349571953833908,2.80556275604722,0.034228013752189076
-2.5,4.078090981267839,0.014309652572594441,0.006938820640710905,0.021215804395697434,4.018922890632777,0.021544083912272284
-2.4,4.900148492993427,0.011818247273535226,0.0008683064646242066,0.012734338952840847,4.862394992167824,0.013001622728470288
-2.3,5.4863014341110325,0.009494221751828272,-0.0010627067994686264,0.008471713506975677,5.46176277553085,0.008605520705180267
-2.2,5.927480624439771,0.007717318712276463,-0.0015796376788242813,0.00616686577651259,5.909820344425433,0.006226987157200687
-2.1,6.2688623684668565,0.006400453812864295,-0.0016463628893865158,0.004775717894226732,6.25467522590942,0.004799731634061082
-2.0,6.535235127472849,0.005415222654780533,-0.0015729022698134942,0.0038589638088230576,6.52310862966098,0.0038734435822438836
-1.9,6.741841230540335,0.004664499631723234,-0.0014614160975428233,0.003216320194184334,6.731118708282807,0.003225818867709049
-1.8,6.89891963006996,0.004082153897698009,-0.001346758419392286,0.002746212130668628,6.889213697586224,0.0027526346234919372
-1.7,7.013792197407845,0.003623633616771944,-0.0012408307525922002,0.00239184630620436,7.004855135136385,0.0023962902779518886
-1.6,7.091932765223327,0.0032584821179306987,-0.001147204162432604,0.0021189912410581337,7.083597563399497,0.0021221359332886216
-1.5,7.137568337648644,0.0029654549940563817,-0.0010663251700657856,0.0019058279924887046,7.129719448635605,0.0019080994579911725
