mu,ZXY1,ZXY_im,Gr
-0.2,0.7796717230499124,0.7796717230499124,1.6644644656612022
-0.18,0.9798088582501026,0.9798088582501026,-0.6435257118415793
-0.16,1.2037059070455938,1.2037059070455938,-3.654573382248744
-0.14,1.423448753139128,1.423448753139128,-7.201181438330036
-0.12,1.6265572713895293,1.6265572713895293,-11.359781737018336
-0.1,1.7638948812782997,1.7638948812782997,-16.35155591337269
-0.08,1.6785853137909015,1.6785853137909015,-22.55881922432294
-0.06,0.9556746875759378,0.9556746875759378,-30.692631771258988
-0.04,-1.0848875215314338,-1.0848875215314338,-41.92218120128713
-0.02,-3.6814054268851844,-3.6814054268851844,-55.521691930184026
0.0,9.043601371244714e-17,9.043601371244714e-17,-62.82173993620299
0.02,3.681405426885181,3.681405426885181,-55.521740968601065
0.04,1.0848875215314322,1.0848875215314322,-41.92228299214938
0.06,-0.9556746875759368,-0.9556746875759368,-30.69279827227015
0.08,-1.6785853137909024,-1.6785853137909024,-22.559077921413316
0.1,-1.763894881278299,-1.763894881278299,-16.35189152977904
0.12,-1.6265572713895313,-1.6265572713895313,-11.360057104163095
0.14,-1.42344875313913,-1.42344875313913,-7.201382180307006
0.16,-1.203705907045595,-1.203705907045595,-3.6547285440174044
0.18,-0.9798088582501029,-0.9798088582501029,-0.6436494014433461
0.2,-0.7796717230499121,-0.7796717230499121,1.6643654434511368
