mu,Drude,BC,dQM,Drude0,app_QM,Green
0.005,0.9665404598519771,0.03715132088847535,-0.0015224865516035037,1.541553015418704,0.0074059100178358655,1.0028793565740006
0.01,0.9022093604191449,0.037340616935627124,0.004342190616021929,1.4766162871556385,0.00939244418644743,0.9857522914871651
0.015,0.004456681998358244,0.03812449194114745,-0.007641138523195692,1.323077790730194,0.01087771172930737,0.9709199613121353
0.02,1.6934604073850181,0.03777419563707118,-0.008914414181498255,1.229715448938784,0.011617752882491632,0.9579799968977022
0.025,1.4040079224626394,0.03663215864154571,-0.009419228473578152,1.17265003227607,0.011983513634719384,0.9468671088423279
0.03,1.2520444513708568,0.0354497303049017,-0.009647452359668674,1.1343559795430744,0.012167835703145079,0.9374292910456834
0.04,1.12913108245649,0.03345862041256999,-0.009849573999303255,1.086018254554766,0.012260938475646337,0.9233467872420493
0.05,1.0791086193317747,0.03189430272734878,-0.009916887276943063,1.058741726234413,0.012165352790309976,0.9149934374527489
0.06,1.0543527480893193,0.030637144125582147,-0.009913362150809991,1.0442041522669454,0.011986686727439876,0.9108854711657712
0.08,1.0379788258801075,0.02873433102579055,-0.00980313741226091,1.0360373468768647,0.011561687564576772,0.9083456259228069
0.1,1.0395455434032694,0.02734029645029173,-0.00964383643666203,1.0398747655367282,0.011154990500545971,0.9044861718034621
