mu,Drude,BC,dQM,Drude0,app_QM,Green
0.5,1.9058775341643541,0.0024329113968367586,0.0009506791597759582,1.905562866335433,0.003411044449777857,1.8406895831957377
0.55,1.8255803881072632,0.0025169565257124947,0.0011324343458870996,1.8264129351863105,0.003687941507040126,1.7630368407423347
0.6,1.7462201995539561,0.0026162236388680036,0.001356321897466188,1.7478259800475517,0.004023581990535586,1.6837049890518168
0.65,1.6686290925717813,0.002737331787967899,0.0016335720750639568,1.6703001349723283,0.0044320778875578904,1.6019262167918613
0.7,1.5943442284679556,0.002887998096408511,0.0019754515090445457,1.5933972044727225,0.004921607034566187,1.5158699519281242
0.75,1.525319484556237,0.003082585043032851,0.0023847348623918783,1.5138110598464503,0.005471396500735709,1.421991353384082
0.8,1.4627816781724405,0.003345229135595576,0.0028263884684819707,1.420907402809005,0.005976913530687156,1.3146715443974861
0.85,1.3827570635541548,0.003647278057814665,0.0031510625022146744,1.292058969165234,0.0061874557551374176,1.1874215273066193
0.9,1.1940074765868005,0.0036175924800325933,0.003072331465498629,1.102322960210513,0.005796966741794831,1.036842867005672
0.95,0.8976972263298392,0.0026644465841491596,0.0025230941250690836,0.8518331037780669,0.004745039497063445,0.8676110525854712
1.0,0.5253062257732718,0.0012907506699695879,0.001694703088594245,0.5760266021644348,0.003314140031426132,0.6938728200576811
