mu,total,BCD,sQMD,dQMD,Inter,dInter
-0.4,-5.304768610525343,3.2282856507632554,2.144783248344371,-0.032730037976027644,0.034192227440989105,0.007770871606678163
-0.38,-4.80155137152748,3.4961331907484983,2.4609063885212676,-0.03688203327681115,0.03930506727564354,0.008713775717889225
-0.36,-4.214913505824555,3.786148132295621,2.806349879973163,-0.04165282725673175,0.045325593899418565,0.00978387868745941
-0.34,-3.536211899590606,4.099794969111346,3.1828015349536027,-0.047166312740939104,0.052455519808102334,0.011002071222139824
-0.32,-2.756067329527378,4.438544922641284,3.5919294400680863,-0.05358176683053099,0.06095535616547415,0.012393486587254476
-0.3,-1.8643311718843443,4.803854906184561,4.035303083372053,-0.061109456861980604,0.07116666021191706,0.013988841138885006
-0.28,-0.8498556803655046,5.197135540953428,4.514425297899771,-0.07003051883900095,0.08354462461352222,0.015825160078771685
-0.26,0.29971696975018025,5.6197118914732105,5.030713608469116,-0.08072781710939496,0.0987067850517947,0.017946239381240518
-0.24,1.5973140300611597,6.07275179133739,5.584505877342692,-0.09373183221095392,0.11750710450600951,0.020401330887273743
-0.22,2.9969347884704067,6.557079025486422,6.1183019171661845,-0.10977936942515859,0.14115064645738465,0.023236547945717313
-0.2,-0.4448351426325486,7.069759440613286,1.7398530513268675,-0.1290464063552982,0.1713550091501964,0.026262771322673704
-0.18,-3.4248882739310074,7.673339509884052,-3.8655066543512504,-0.1467500965861311,0.21110600258248383,0.027889506435638332
-0.16,0.07399677310663348,8.427937194907456,-3.3730334102275408,-0.1715756634499217,0.26471885849510085,0.029476301353796298
-0.14,4.272869580627562,9.320470838435089,-2.638419991180054,-0.20672143296851625,0.3382864450132001,0.03029599311605011
-0.12,9.199147594670196,10.344048958044604,-1.734152346062557,-0.2551071294834632,0.44161480818634413,0.027966516066956357
-0.1,15.025458466350416,11.488932444372097,-0.6468858442597166,-0.3192971915577381,0.5902889350494304,0.016561544492503157
-0.08,22.309844972813337,12.733711232877956,0.9026088599728636,-0.3951611026698816,0.8076815451018151,-0.018545108503013736
-0.06,33.924190997663366,13.949090864401779,5.532196417511059,-0.4441491990468817,1.119931110389847,-0.10895985413056405
-0.04,46.17816381147655,14.939146173392464,8.632170893759692,-0.23662523681956577,1.5107148297069333,-0.29231002965893993
-0.02,63.06713406311434,15.548961589591336,11.335839910272476,1.1743277371924496,1.7869364045147782,-0.3185338351688842
0.0,84.31375204655093,15.378826911478871,14.52033551667637,4.197272914189165,1.8985065460998798,0.8483644213809782
0.02,63.13683121752871,15.552395007836441,11.382614450682546,1.1742392620520985,1.7869453671264144,-0.3185142908482125
0.04,46.29157503636448,14.944917163066156,8.726720273120256,-0.23678222703879911,1.5107312605736394,-0.2922711724339042
0.06,34.127539406606935,13.958249969536409,5.703914783367525,-0.4444296143044285,1.1199594588033555,-0.10889043177468885
0.08,22.495048478672196,12.751650622480312,1.0203867983248696,-0.39533869453662807,0.8077425157962562,-0.01850128588171533
0.1,15.09830081736021,11.50496753421243,-0.6403948274829113,-0.31927231017320684,0.5903491993174743,0.01655517794480694
0.12,9.269818355988205,10.358564177675298,-1.731283225568458,-0.25504561756042043,0.44167528941208545,0.0279510860169167
0.14,4.341443249757635,9.332903423516042,-2.638682495348886,-0.20660804006955644,0.3383442229859492,0.030267769344773373
0.16,0.13827168596433723,8.437495944503228,-3.377860078797571,-0.17138369253397298,0.2647687901179358,0.029428770567032404
0.18,-3.380377648106621,7.678918483163433,-3.889866657935233,-0.1464411154218033,0.21113917687457237,0.02781334537278395
0.2,-1.4889855755378738,7.0695214216515705,0.6635679422737865,-0.128822044807202,0.17135386263542637,0.026207693269370037
0.22,2.9816400858184817,6.557061843413443,6.104323213216808,-0.10977632380788573,0.14115069410865008,0.02323587883285197
0.24,1.5964809241633706,6.072752057282716,5.5842550957120745,-0.09373142565793963,0.1175072495246673,0.0204013178994059
0.26,0.29910403727495,5.619712424252961,5.030708417312291,-0.08072743303448134,0.09870691858308794,0.01794623812337765
0.28,-0.8505032118946493,5.197136019719786,4.514424679948937,-0.07003011523023535,0.08354474331785358,0.015825158918687368
0.3,-1.865010859181856,4.803855321355791,4.035302619052165,-0.06110904077569616,0.07116676311508803,0.013988839893301007
0.32,-2.75678298769237,4.4385452715121225,3.591929063521734,-0.05358134302305982,0.06095544262740753,0.012393485274055503
0.34,-3.536947094784926,4.0997952501563315,3.1828012147178795,-0.04716588997751158,0.05245558945536488,0.011002069877271392
0.36,-4.215667737432622,3.7861483443342503,2.806349624997878,-0.04165240911517571,0.04532564644283784,0.009783877330739104
0.38,-4.8023306237389205,3.496133335018169,2.460906210994304,-0.03688162411450251,0.039305103024366135,0.008713774371732713
0.4,-5.30559578613062,3.228285728298155,2.144783208016678,-0.032729640406952476,0.03419224665294962,0.0077708702874765435
