mu,Drude,BCD,sQMD,dQMD,Inter,dInter,Green,Green_sea
0.002,190.23089984698345,-14.229892421067085,-6.1321223438205985,4.80421752692523,1.3737547090545237,0.6243416145091424,-173.92164179182967,1.6827318723622803e7
0.004,49.843592105140615,-9.959699544690396,-4.877395407910353,2.553013151918167,0.24795208653461243,0.950845502752226,-41.931172350270906,266164.9790732865
0.006,23.34454296605699,-6.772411589234348,-3.829148920769155,1.0474627642871597,-0.22953671929524253,0.8618832689408757,-17.771759892449293,5124.8477770393565
0.008,13.789160841795935,-4.6283010895433305,-3.0153793472738863,0.19418483311500057,-0.33247602040568397,0.6192731696614988,-9.471680162592008,99.07276340502027
0.01,9.214220181786178,-3.2289277611115588,-2.4017360858982766,-0.24597956100116505,-0.29280589333815327,0.3835288265822797,-5.7401181800525976,1.911332824159424
0.015,4.4697311312746635,-1.4728011907939786,-1.4495368155482071,-0.5512900915432364,-0.12013654924237252,0.03420301381619139,-2.264300833246127,-0.009396197113009985
0.02,2.7062982749060938,-0.7781776577978907,-0.951792442860375,-0.5149331686960633,-0.027126524853626828,-0.08079833309400046,-1.1694505946296778,-0.003909274164243859
0.025,1.8682386626769,-0.4558094100853579,-0.6669785589025959,-0.4314943160629607,0.009666167482816039,-0.10664305427994861,-0.7083478086137339,-0.001415346702091591
0.03,1.4213237465346555,-0.28480392372407093,-0.4904230941693142,-0.3568263158167163,0.02313495555162918,-0.10490267272177768,-0.47640263063564714,-0.0006144020552850682
0.04,1.0593485427780984,-0.12278444904954647,-0.29268776476360125,-0.25035948702992267,0.029536389374538598,-0.08714546907940188,-0.26276431248091814,-0.0007472450580660872
0.05,1.0793243860584414,-0.055721565559264816,-0.18997334072840083,-0.1821076782063705,0.029237003046954466,-0.07133955476524569,-0.16993507026876328,-0.0011985755083618876
0.06,-28.193447353784013,-0.010371824562337283,0.07687188126984125,0.06563678110501346,0.05239494822699024,0.052117659672824335,-0.12028166788264527,-0.0014100319776792491
0.065,129.90278461926957,-0.027190361584216286,-0.241012633232384,-0.23091895381452593,0.04828020933533146,-0.14491370700621933,-0.10343676757718631,-0.0014276699914636537
0.07,0.35453790531141127,-0.013046489769814892,0.07371800557652917,0.08080194287954987,0.0222020865754435,0.03704743486245656,-0.0899105344481364,-0.0014036567714881265
0.075,-0.3419935280823577,-0.009219812883858546,0.056125494091210294,0.06201060904312313,0.02010579414511074,0.02913189447595127,-0.07884231482956966,-0.0013503984857042295
0.08,-0.1877380085600916,-0.006598824329996402,0.041696360077249583,0.04660520603001225,0.01813840250231906,0.022333189071651015,-0.06964581365506328,-0.0012781288522634993
