k,e1,e2
-3.141592653589793,-1.1962912017836256,1.496291201783626
-3.1101767270538954,-1.1822271297593097,1.4820790978690292
-3.078760800517997,-1.1680406074545535,1.467448625983035
-3.0473448739820994,-1.1537369123785424,1.4524055017594664
-3.015928947446201,-1.1393213720274655,1.4369557824218087
-2.9845130209103035,-1.124799372461736,1.421105874640277
-2.9530970943744057,-1.1101763678503453,1.404862543068952
-2.9216811678385075,-1.0954578910710195,1.3882329196526444
-2.8902652413026098,-1.0806495654649804,1.3712245138035692
-2.8588493147667116,-1.0657571178565763,1.3538452235596592
-2.827433388230814,-1.0507863929608643,1.3361033478494106
-2.796017461694916,-1.0357433693166067,1.318007600002874
-2.764601535159018,-1.0206341768983025,1.2995671226647776
-2.73318560862312,-1.0054651165789428,1.2807915042841371
-2.701769682087222,-0.9902426816354011,1.261690797375207
-2.670353755551324,-0.9749735815109465,1.2422755387674567
-2.6389378290154264,-0.9596647680745417,1.222556772087701
-2.607521902479528,-0.9443234646445359,1.202546072745719
-2.5761059759436304,-0.9289571980753101,1.1822555757259148
-2.5446900494077322,-0.9135738342395605,1.1616980065219291
-2.5132741228718345,-0.8981816172762673,1.1408867155887519
-2.4818581963359367,-0.8827892130150652,1.1198357167277724
-2.4504422698000385,-0.867405757031517,1.0985597298642533
-2.419026343264141,-0.8520409078343979,1.0770742287235358
-2.3876104167282426,-0.8367049057348088,1.0553954939612318
-2.356194490192345,-0.821408637996721,1.0335406723526852
-2.324778563656447,-0.8061637109177057,1.0115278426963126
-2.293362637120549,-0.7909825295345612,0.9893760891316569
-2.2619467105846507,-0.7758783856877874,0.9671055826123941
-2.230530784048753,-0.7608655552061309,0.9447376713020238
-2.199114857512855,-0.7459594049807363,0.9222949806684784
-2.1676989309769574,-0.7311765106779728,0.8998015240336119
-2.1362830044410592,-0.7165347857777745,0.8772828242714735
-2.104867077905161,-0.7020536225029026,0.8547660472280137
-2.0734511513692633,-0.6877540450011658,0.8322801472316802
-2.0420352248333655,-0.6736588748280365,0.8098560247499005
-2.0106192982974678,-0.6597929083140791,0.7875266957836008
-1.9792033717615696,-0.6461831047441513,0.7653274719345854
-1.9477874452256716,-0.6328587833679638,0.7432961491733673
-1.9163715186897736,-0.6198518260396317,0.7214732021132191
-1.8849555921538759,-0.6071968806760228,0.699901978988507
-1.853539665617978,-0.5949315586571283,0.6786288904688971
-1.82212373908208,-0.5830966167022519,0.6577035828517084
-1.790707812546182,-0.5717361106049771,0.6371790830239398
-1.759291886010284,-0.560897504510877,0.6171118988865945
-1.727875959474386,-0.5506317152769242,0.5975620547889935
-1.6964600329384882,-0.5409930671004468,0.578593037169738
-1.6650441064025903,-0.5320391274831238,0.5602716214786779
-1.6336281798666923,-0.5238303923881187,0.5426675482469125
-1.6022122533307943,-0.5164297871303068,0.5258530148537452
