x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
-0.39734915,0.12542927,-0.39061886,0.21103676,-0.059538987,-0.24572973,-0.02640268,0.6046671,0.5538755,-0.4131318,0.03957394,-0.38780114,-0.16602184,0.039749138,0.07568154,0.04285226
-0.75765735,0.19941734,-0.7007876,0.3853191,-0.121286914,-0.5690335,-0.09502937,1.144346,0.94897854,-0.834918,0.09788087,-0.78693295,-0.3663598,0.03247787,0.121785365,0.11365894
-1.1167208,0.27419475,-0.8378211,0.4761246,-0.16309284,-0.97588545,-0.20931683,1.5954866,1.0397334,-1.163336,0.27019447,-1.1702968,-0.5896721,-0.08519526,0.2617295,0.20326804
-1.5108165,0.20746887,-0.92612314,0.2970491,-0.11512636,-1.3850915,-0.3669941,1.9992608,0.46877706,-1.0265329,0.42870197,-1.4862142,-0.78748846,-0.4518554,0.4670031,0.082718894
-1.4232678,-0.09683454,-0.81936413,0.08351712,0.04804318,-1.3362024,-0.40742263,1.9483446,-0.122911446,-0.5088969,0.3595571,-1.2995716,-0.6622243,-0.7479912,0.43121105,-0.33897483
-1.3203871,-0.27942505,-0.6438132,-0.011880442,0.052012455,-1.1878225,-0.24306177,1.7833326,-0.3447031,-0.021323431,0.22930273,-1.0007852,-0.5283701,-0.838317,0.30432132,-0.6301003
-1.3096837,-0.4610272,-0.48028225,-0.04689172,-0.019499753,-1.0450389,-0.19304284,1.7442428,-0.39088765,0.39277235,0.045698777,-0.7988617,-0.48497134,-0.8633942,0.20266476,-0.8803331
-1.3280246,-0.63828975,-0.3243276,-0.03917227,-0.10993452,-0.91870266,-0.16573292,1.7495884,-0.35494602,0.70283306,-0.15972945,-0.65334684,-0.49408984,-0.86382383,0.10839619,-1.0732617
-1.3455334,-0.7562149,-0.18701671,-0.016944608,-0.19460344,-0.83217096,-0.15687115,1.7738352,-0.30240998,0.94845444,-0.36657473,-0.5458511,-0.5268652,-0.87259597,0.025349861,-1.2067071
-1.3658931,-0.82438254,-0.0681046,0.010612667,-0.26651752,-0.7603491,-0.1574617,1.8153201,-0.24096328,1.1575856,-0.56865555,-0.44624305,-0.5671121,-0.89593583,-0.039288912,-1.300581
-1.3937819,-0.86356527,0.031852987,0.033693735,-0.32281548,-0.6982803,-0.17530666,1.8706926,-0.17912725,1.3411684,-0.76288605,-0.34236115,-0.61251956,-0.9392124,-0.07948793,-1.3674613
-1.430629,-0.8852186,0.114702456,0.045765497,-0.3665436,-0.6446865,-0.21183679,1.9349875,-0.121200405,1.5065078,-0.944033,-0.22741768,-0.660112,-0.99771285,-0.097182706,-1.4196855
-1.4750378,-0.8984178,0.18290053,0.04578913,-0.39827922,-0.6004005,-0.26670802,2.0060213,-0.07121846,1.6557877,-1.1127697,-0.1052317,-0.707023,-1.0673577,-0.09670053,-1.466702
-1.5210673,-0.9073614,0.24268857,0.035049498,-0.42011175,-0.5648251,-0.3333606,2.0789993,-0.03233446,1.7906412,-1.2730494,0.019208863,-0.7500721,-1.1441267,-0.085539795,-1.517013
-1.5637499,-0.9142265,0.29931042,0.01710895,-0.4351101,-0.5363359,-0.4057127,2.1500294,-0.005162651,1.9131552,-1.4296196,0.1401383,-0.78858256,-1.2248522,-0.069700755,-1.5736275
-1.6006125,-0.9190905,0.35610643,-0.0052289627,-0.44656697,-0.51284456,-0.4787356,2.216492,0.012200704,2.025568,-1.5849138,0.25473437,-0.82309324,-1.3067724,-0.052761883,-1.6360357
-1.6317296,-0.9216501,0.41391918,-0.02983376,-0.45649135,-0.4928905,-0.54991484,2.2779028,0.022486422,2.1291597,-1.7396547,0.36175054,-0.8548275,-1.3879675,-0.035959143,-1.7015413
-1.658168,-0.9213307,0.47254574,-0.055426553,-0.46594644,-0.4755377,-0.61805195,2.3347256,0.028234866,2.2245858,-1.8933415,0.46134493,-0.88485,-1.4671355,-0.019431358,-1.7673439
-1.6812696,-0.9178147,0.5312452,-0.08123532,-0.4752206,-0.4603904,-0.68306154,2.3878565,0.03124526,2.3120723,-2.0451012,0.55408627,-0.913982,-1.5435963,-0.0028341243,-1.8310559
-1.7021827,-0.91094714,0.58928204,-0.10690502,-0.48428252,-0.4473479,-0.74527395,2.4381177,0.0326217,2.3917603,-2.1939423,0.64080346,-0.9427228,-1.6170737,0.01422227,-1.8910514
-1.7217839,-0.90076745,0.646029,-0.13229544,-0.4929432,-0.43649194,-0.80521953,2.486179,0.03291924,2.4637995,-2.3389843,0.7223102,-0.97134024,-1.6875585,0.03205767,-1.946357
-1.7406602,-0.88742167,0.70104665,-0.15736976,-0.5009892,-0.42796528,-0.86339843,2.5325117,0.032331444,2.5284016,-2.4795048,0.7993541,-0.99992585,-1.7551688,0.050865617,-1.9965434
-1.7591496,-0.87112635,0.7540675,-0.18210933,-0.50822294,-0.4219132,-0.92020833,2.577414,0.030822847,2.5858274,-2.6149695,0.8725595,-1.0284588,-1.8200693,0.07072357,-2.0415635
-1.7773834,-0.85212886,0.8049737,-0.2064774,-0.5144848,-0.4184454,-0.97590464,2.6210372,0.02822694,2.6363645,-2.7450147,0.9424242,-1.0568501,-1.8824214,0.09161431,-2.0816202
-1.7953346,-0.83068764,0.8537616,-0.23040697,-0.5196541,-0.4176247,-1.0306073,2.6634188,0.024311155,2.6803005,-2.8694236,1.0093267,-1.0849767,-1.9423606,0.11345679,-2.1170518
-1.8128605,-0.8070599,0.9005083,-0.2538048,-0.5236426,-0.41946796,-1.0843232,2.7045126,0.018820468,2.7178993,-2.9880915,1.0735476,-1.112706,-1.9999899,0.13613679,-2.1482463
-1.8297433,-0.7814957,0.9453409,-0.2765611,-0.52638423,-0.42395583,-1.1369771,2.744217,0.011505272,2.7493808,-3.1009912,1.135294,-1.1399108,-2.0553827,0.15953521,-2.1755788
-1.8457235,-0.7542347,0.9884104,-0.2985611,-0.52782303,-0.43104577,-1.1884437,2.7823956,0.0021378533,2.7749057,-3.208141,1.194723,-1.1664782,-2.108592,0.1835522,-2.199371
