W,Green
0.0,-48.0099509099941
0.002,-30.393536877527367
0.004,-7.34640170136845
0.006,-3.083978557253431
0.008,-1.5983915320139204
0.01,-0.9172398324390088
0.02,-0.06752277937130202
0.03,0.014771278756654738
0.04,-0.01094814480350692
0.05,-0.05610747397030025
0.06,-0.09888458513083975
0.07,-0.13108129721356754
0.08,-0.14757494451712638
0.09,-0.14630984688644189
0.1,-0.13052046928323868
0.12,-0.0867757173546635
0.15,-0.054187104128906594
